id,item_id,item_earnings,total_items_sold,date
202,4240,1299,1,03/12/2019
203,4241,698,1,03/12/2019
204,4242,1299,1,03/12/2019
205,4334,799,1,03/12/2019
206,4351,399,1,03/12/2019
207,4352,1699,1,03/12/2019
208,4355,2399,1,03/12/2019
209,4357,399,1,03/12/2019
210,4365,1010.45,1,03/12/2019
211,4367,1399,1,03/12/2019
212,4393,1198,1,03/12/2019
213,4424,299,1,03/12/2019
214,4427,299,1,03/12/2019
215,4445,299,1,03/12/2019
216,4467,987.58,1,03/12/2019
217,4471,998,1,03/12/2019
218,4493,699,1,03/12/2019
219,4498,698,1,03/12/2019
220,4516,1047,3,03/12/2019
221,4548,2090,1,03/12/2019
222,4554,299,2,03/12/2019
223,4557,399,1,03/12/2019
224,4628,299,1,03/12/2019
225,4639,1599,1,03/12/2019
226,4701,299,1,03/12/2019
227,4717,1196,4,03/12/2019
228,4728,747,3,03/12/2019
229,4736,58,1,03/12/2019
230,4806,495,7,03/12/2019
231,4807,798,2,03/12/2019
232,4808,1197,3,03/12/2019
233,4870,10392,8,03/12/2019
234,4871,999,2,03/12/2019
235,4872,2398,2,03/12/2019
236,4873,1199,1,03/12/2019
237,4899,1349,2,03/12/2019
238,4904,399,2,03/12/2019
239,4906,7996,4,03/12/2019
240,4962,798,2,03/12/2019
241,4977,1899,1,03/12/2019
242,4996,1799,1,03/12/2019
243,5013,698,1,03/12/2019
244,5037,5198,2,03/12/2019
245,5046,349,1,03/12/2019
246,5051,349,1,03/12/2019
247,5240,1598,2,03/12/2019
248,5247,2999,1,03/12/2019
249,5272,598,2,03/12/2019
250,5305,299,1,03/12/2019
251,5341,2798,2,03/12/2019
252,5361,28,1,03/12/2019
253,5362,498,1,03/12/2019
254,5380,13960,4,03/12/2019
255,5459,698,2,03/12/2019
256,5467,1649,1,03/12/2019
257,5485,349,1,03/12/2019
258,5509,299,1,03/12/2019
259,5572,3780,2,03/12/2019
260,5581,499,1,03/12/2019
261,5601,798,2,03/12/2019
262,5634,3190,1,03/12/2019
263,5638,3190,1,03/12/2019
264,5643,11960,5,03/12/2019
265,5655,1290,1,03/12/2019
266,5658,799,1,03/12/2019
267,5663,11070,3,03/12/2019
268,5666,10470,3,03/12/2019
269,5669,3490,1,03/12/2019
270,5672,3490,1,03/12/2019
271,5674,499,1,03/12/2019
272,5759,799,3,03/12/2019
273,5760,1499,1,03/12/2019
274,5811,199,1,03/12/2019
275,5820,6398,2,03/12/2019
276,5821,8792,8,03/12/2019
277,5822,10341,12,03/12/2019
278,5823,11196,4,03/12/2019
279,5827,349,1,03/12/2019
280,5828,549,1,03/12/2019
281,5830,549,1,03/12/2019
282,5834,999,1,03/12/2019
283,5837,499,1,03/12/2019
284,5900,1199,1,03/12/2019
285,5917,59,1,03/12/2019
286,5962,1398,2,03/12/2019
287,6027,299,1,03/12/2019
288,6028,2499,1,03/12/2019
289,6051,399,1,03/12/2019
290,6092,1199,1,03/12/2019
291,6108,98,1,03/12/2019
292,6117,498,2,03/12/2019
293,6126,4995,5,03/12/2019
294,6128,7497,3,03/12/2019
295,6129,5997,3,03/12/2019
296,6156,99,1,03/12/2019
297,6185,499,1,03/12/2019
298,6226,199,1,03/12/2019
299,6236,299,1,03/12/2019
300,6252,598,2,03/12/2019
301,6254,2498,2,03/12/2019
302,6285,349,1,03/12/2019
303,6297,3298,2,03/12/2019
304,6308,598,2,03/12/2019
305,6351,898,2,03/12/2019
306,6406,98,1,03/12/2019
307,6422,58,1,03/12/2019
308,6432,198,1,03/12/2019
309,6474,249,1,03/12/2019
310,6496,249,1,03/12/2019
311,6497,2998,2,03/12/2019
312,6503,7186,4,03/12/2019
313,6625,999,1,03/12/2019
314,6628,699,1,03/12/2019
315,6641,98,1,03/12/2019
316,6675,80970,3,03/12/2019
317,6710,1198,2,03/12/2019
318,6713,3398,3,03/12/2019
319,6738,998,5,03/12/2019
320,6740,1497,6,03/12/2019
321,6768,2799,1,03/12/2019
322,6861,498,1,03/12/2019
323,6875,299,1,03/12/2019
324,6877,199,1,03/12/2019
325,6930,2199,1,03/12/2019
326,7003,399,1,03/12/2019
327,7018,999,1,03/12/2019
328,7085,1398,2,03/12/2019
329,7087,2997,3,03/12/2019
330,7093,229,1,03/12/2019
331,7172,5198,2,03/12/2019
332,7211,248,1,03/12/2019
333,7220,3897,3,03/12/2019
334,7233,1198,2,03/12/2019
335,7308,1047,3,03/12/2019
336,7351,299,1,03/12/2019
337,7369,299,1,03/12/2019
338,7493,349,1,03/12/2019
339,7498,698,2,03/12/2019
340,7655,299,1,03/12/2019
341,7723,2999,1,03/12/2019
342,7736,1196,4,03/12/2019
343,7739,296,3,03/12/2019
344,7741,299,1,03/12/2019
345,7780,958,2,03/12/2019
346,7793,2599,1,03/12/2019
347,7794,2498,1,03/12/2019
348,7798,1798,1,03/12/2019
349,7805,996,2,03/12/2019
350,7812,5890,1,03/12/2019
351,7834,799,1,03/12/2019
352,7846,1299,1,03/12/2019
353,7852,249,1,03/12/2019
354,7853,399,1,03/12/2019
355,7856,2397,4,03/12/2019
356,7872,196,2,03/12/2019
357,7877,3990,-1,03/12/2019
358,7894,6870,4,03/12/2019
359,7917,198,1,03/12/2019
360,7933,1190,1,03/12/2019
361,7956,6990,1,03/12/2019
362,7966,2599,2,03/12/2019
363,7967,999,1,03/12/2019
364,8008,598,3,03/12/2019
365,8012,299,1,03/12/2019
366,8040,75,1,03/12/2019
367,8061,734,1,03/12/2019
368,8065,399,2,03/12/2019
369,8073,399,1,03/12/2019
370,8078,99,1,03/12/2019
371,8079,1596,4,03/12/2019
372,8093,1081.15,1,03/12/2019
373,8095,499,-1,03/12/2019
374,8204,449,1,03/12/2019
375,8209,58,1,03/12/2019
376,8218,249,1,03/12/2019
377,8245,249,1,03/12/2019
378,8312,198,1,03/12/2019
379,8352,1199,1,03/12/2019
380,8366,549,1,03/12/2019
381,8436,249,1,03/12/2019
382,8448,4490,1,03/12/2019
383,8452,4780,3,03/12/2019
384,8455,6980,2,03/12/2019
385,8469,349,1,03/12/2019
386,8508,699,1,03/12/2019
387,8510,249,1,03/12/2019
388,8532,5500,1,03/12/2019
389,8537,349,1,03/12/2019
390,8569,798,3,03/12/2019
391,8570,998,2,03/12/2019
392,8571,299,1,03/12/2019
393,8624,149,1,03/12/2019
394,8625,199,1,03/12/2019
395,8672,169,1,03/12/2019
396,8702,798,2,03/12/2019
397,8778,99,1,03/12/2019
398,8807,58,1,03/12/2019
399,8808,99,1,03/12/2019
400,8819,799,1,03/12/2019
401,8845,264.58,1,03/12/2019
402,8856,299,1,03/12/2019
403,8874,599,1,03/12/2019
404,8888,199,1,03/12/2019
405,8930,99,1,03/12/2019
406,8958,499,1,03/12/2019
407,8961,169,1,03/12/2019
408,8981,1197,3,03/12/2019
409,9048,169,1,03/12/2019
410,9055,99,1,03/12/2019
411,9121,50,2,03/12/2019
412,9124,50,4,03/12/2019
413,9355,2094,8,03/12/2019
414,9394,299,1,03/12/2019
415,9396,598,2,03/12/2019
416,9401,299,1,03/12/2019
417,9405,299,1,03/12/2019
418,9406,349,1,03/12/2019
419,9409,698,2,03/12/2019
420,9411,349,1,03/12/2019
421,9451,399,1,03/12/2019
422,9457,299,1,03/12/2019
423,9458,220,2,03/12/2019
424,9462,379,1,03/12/2019
425,9495,198,2,03/12/2019
426,9496,99,1,03/12/2019
427,9497,99,1,03/12/2019
428,9498,99,1,03/12/2019
429,9499,99,1,03/12/2019
430,9532,798,2,03/12/2019
431,9541,349,1,03/12/2019
432,9554,199,1,03/12/2019
433,9697,1799,1,03/12/2019
434,9786,169,1,03/12/2019
435,9862,99,1,03/12/2019
436,9873,199,1,03/12/2019
437,9929,58,1,03/12/2019
438,9994,449,1,03/12/2019
439,10003,99,1,03/12/2019
440,10164,199,1,03/12/2019
441,10205,1079,1,03/12/2019
442,10216,298,2,03/12/2019
443,10266,299,1,03/12/2019
444,10277,249,1,03/12/2019
445,10296,1442.43,1,03/12/2019
446,10337,149,1,03/12/2019
447,10357,199,1,03/12/2019
448,10360,199,1,03/12/2019
449,10378,149,1,03/12/2019
450,10379,149,1,03/12/2019
451,10382,399,1,03/12/2019
452,10455,198,2,03/12/2019
453,10476,4311,11,03/12/2019
454,10477,1599,1,03/12/2019
455,10478,4794,6,03/12/2019
456,10489,399,1,03/12/2019
457,10500,499,1,03/12/2019
458,10513,1499,1,03/12/2019
459,10515,169,1,03/12/2019
460,10517,1849,1,03/12/2019
461,10553,399,1,03/12/2019
462,10578,299,1,03/12/2019
463,10583,199,1,03/12/2019
464,10614,280,1,03/12/2019
465,10615,599,1,03/12/2019
466,10617,689,1,03/12/2019
467,10633,899,1,03/12/2019
468,10659,1998,2,03/12/2019
469,10678,1499,1,03/12/2019
470,10726,798,2,03/12/2019
471,10768,349,1,03/12/2019
472,10782,249,1,03/12/2019
473,10784,399,1,03/12/2019
474,10785,349,1,03/12/2019
475,10786,299,1,03/12/2019
476,10788,249,1,03/12/2019
477,10826,28,1,03/12/2019
478,10829,58,1,03/12/2019
479,10842,399,1,03/12/2019
480,10855,269.17,1,03/12/2019
481,10891,199,1,03/12/2019
482,10937,199,1,03/12/2019
483,10940,1148,1,03/12/2019
484,11094,99,1,03/12/2019
485,11106,199,1,03/12/2019
486,11133,199,1,03/12/2019
487,11134,79,1,03/12/2019
488,11142,249,1,03/12/2019
489,11181,198,2,03/12/2019
490,11184,199,1,03/12/2019
491,11185,698,2,03/12/2019
492,11200,149,1,03/12/2019
493,11222,299,1,03/12/2019
494,11227,99,1,03/12/2019
495,11244,69,1,03/12/2019
496,11245,28,1,03/12/2019
497,11247,1596,4,03/12/2019
498,11286,399,1,03/12/2019
499,11306,449,2,03/12/2019
500,11311,899,1,03/12/2019
501,11339,349,1,03/12/2019
502,11369,855,2,03/12/2019
503,11370,233,10,03/12/2019
504,11372,814,2,03/12/2019
505,11373,383.333333333,3,03/12/2019
506,11389,899,1,03/12/2019
507,11431,158,2,03/12/2019
508,11454,49,1,03/12/2019
509,11460,99,1,03/12/2019
510,11496,338,2,03/12/2019
511,11498,332.67,1,03/12/2019
512,11575,99,1,03/12/2019
513,11595,99,1,03/12/2019
514,11652,399,1,03/12/2019
515,11655,7342.39,4,03/12/2019
516,11688,229,2,03/12/2019
517,11711,299,1,03/12/2019
518,11786,28,1,03/12/2019
519,11795,199,1,03/12/2019
520,11796,149,1,03/12/2019
521,11800,149,1,03/12/2019
522,11811,1199,1,03/12/2019
523,11893,338,2,03/12/2019
524,11899,99,1,03/12/2019
525,11904,149,1,03/12/2019
526,11926,11210,11,03/12/2019
527,11927,6918,17,03/12/2019
528,11938,99,1,03/12/2019
529,11968,149,1,03/12/2019
530,12028,99,1,03/12/2019
531,12062,99,1,03/12/2019
532,12064,99,1,03/12/2019
533,12090,399,1,03/12/2019
534,12091,499,1,03/12/2019
535,12104,98,1,03/12/2019
536,12105,98,1,03/12/2019
537,12206,7497,3,03/12/2019
538,12286,28,1,03/12/2019
539,12319,70,1,03/12/2019
540,12353,399,1,03/12/2019
541,12361,99,1,03/12/2019
542,12362,798,2,03/12/2019
543,12363,901.18,1,03/12/2019
544,12399,99,1,03/12/2019
545,12411,199,1,03/12/2019
546,12436,99,1,03/12/2019
547,12463,199,1,03/12/2019
548,12465,398,2,03/12/2019
549,12475,199,1,03/12/2019
550,12477,199,1,03/12/2019
551,12488,798,1,03/12/2019
552,12527,449,1,03/12/2019
553,12552,199,1,03/12/2019
554,12610,349,1,03/12/2019
555,12709,399,1,03/12/2019
556,12730,1490,1,03/12/2019
557,12778,199,1,03/12/2019
558,12781,149,1,03/12/2019
559,12797,199,1,03/12/2019
560,12826,99,1,03/12/2019
561,12839,99,1,03/12/2019
562,12917,249,1,03/12/2019
563,12933,149,1,03/12/2019
564,12944,98,1,03/12/2019
565,13041,99,1,03/12/2019
566,13071,599,1,03/12/2019
567,13097,1000,4,03/12/2019
568,13099,500,2,03/12/2019
569,13104,399,1,03/12/2019
570,13105,499,1,03/12/2019
571,13119,299,1,03/12/2019
572,13144,98,1,03/12/2019
573,13151,198,1,03/12/2019
574,13159,299,1,03/12/2019
575,13166,249,1,03/12/2019
576,13205,299,4,03/12/2019
577,13229,499,1,03/12/2019
578,13230,499,1,03/12/2019
579,13268,499,1,03/12/2019
580,13341,150,1,03/12/2019
581,13342,150,1,03/12/2019
582,13359,150,1,03/12/2019
583,13367,299,1,03/12/2019
584,13387,598,6,03/12/2019
585,13400,19990,1,03/12/2019
586,13401,27392,1,03/12/2019
587,13405,25392,1,03/12/2019
588,13442,27990,1,03/12/2019
589,13494,29980,2,03/12/2019
590,13505,3597,4,03/12/2019
591,13511,1499,1,03/12/2019
592,13512,1499,1,03/12/2019
593,13517,4780,2,03/12/2019
594,13557,4998,2,03/12/2019
595,13560,3999,1,03/12/2019
596,13591,1799,1,03/12/2019
597,13674,1649,2,03/12/2019
598,13687,1799,1,03/12/2019
599,13697,2362,3,03/12/2019
600,13721,229,1,03/12/2019
601,13723,229,1,03/12/2019
602,13753,200.8,5,03/12/2019
603,13755,299,1,03/12/2019
604,13802,5489,13,03/12/2019
605,13803,1598,3,03/12/2019
606,13812,99,1,03/12/2019
607,13825,999,1,03/12/2019
608,13827,169,1,03/12/2019
609,13851,169,1,03/12/2019
610,13856,28,1,03/12/2019
611,13869,349,1,03/12/2019
612,13880,199,2,03/12/2019
613,13881,599,1,03/12/2019
614,13970,98,2,03/12/2019
615,14019,298,3,03/12/2019
616,14039,69,1,03/12/2019
617,14044,399,1,03/12/2019
618,14075,148,1,03/12/2019
619,14092,58,1,03/12/2019
620,14093,58,1,03/12/2019
621,14102,749,1,03/12/2019
622,14125,1803.25,1,03/12/2019
623,14143,629.26,1,03/12/2019
624,14169,98,1,03/12/2019
625,14216,299,1,03/12/2019
626,14223,299,1,03/12/2019
627,14227,396,4,03/12/2019
628,14228,396,4,03/12/2019
629,14229,99,2,03/12/2019
630,14243,1197,3,03/12/2019
631,14254,249,1,03/12/2019
632,14256,99,1,03/12/2019
633,14258,299,1,03/12/2019
634,14259,99,1,03/12/2019
635,14280,349,1,03/12/2019
636,14306,999,1,03/12/2019
637,14307,749,1,03/12/2019
638,14308,169,1,03/12/2019
639,14313,199,1,03/12/2019
640,14368,28,1,03/12/2019
641,14386,149,1,03/12/2019
642,14437,1047,3,03/12/2019
643,14444,58,1,03/12/2019
644,14446,169,2,03/12/2019
645,14457,338,2,03/12/2019
646,14458,598,2,03/12/2019
647,14500,199,1,03/12/2019
648,14506,399,1,03/12/2019
649,14510,29,1,03/12/2019
650,14597,199,1,03/12/2019
651,14628,199,1,03/12/2019
652,14652,398,0,03/12/2019
653,14654,149,1,03/12/2019
654,14710,798,2,03/12/2019
655,14716,49,1,03/12/2019
656,14720,49,1,03/12/2019
657,14755,99,1,03/12/2019
658,14810,158,2,03/12/2019
659,14822,1259,2,03/12/2019
660,14830,339,1,03/12/2019
661,14844,1356,4,03/12/2019
662,14845,199,2,03/12/2019
663,14846,199,1,03/12/2019
664,14860,58,1,03/12/2019
665,14865,199,1,03/12/2019
666,15022,99,1,03/12/2019
667,15023,58,1,03/12/2019
668,15031,390,1,03/12/2019
669,15040,599,1,03/12/2019
670,15044,596,2,03/12/2019
671,15045,1398,2,03/12/2019
672,15047,1499,1,03/12/2019
673,15063,449,1,03/12/2019
674,15066,799,1,03/12/2019
675,15085,699,1,03/12/2019
676,15088,799,1,03/12/2019
677,15112,636,5,03/12/2019
678,15114,249,1,03/12/2019
679,15193,299,1,03/12/2019
680,15212,335,1,03/12/2019
681,15229,1499,1,03/12/2019
682,15240,1198,2,03/12/2019
683,15257,1199,1,03/12/2019
684,15261,699,1,03/12/2019
685,15265,699,1,03/12/2019
686,15283,1499,1,03/12/2019
687,15286,1899,1,03/12/2019
688,15319,1249,1,03/12/2019
689,15334,287,1,03/12/2019
690,15336,529,1,03/12/2019
691,15392,779,1,03/12/2019
692,15395,649,1,03/12/2019
693,15398,1129,1,03/12/2019
694,15438,1049,1,03/12/2019
695,15443,629,1,03/12/2019
696,15450,999,1,03/12/2019
697,15456,649,1,03/12/2019
698,15470,249,1,03/12/2019
699,15480,599,1,03/12/2019
700,15489,1149,1,03/12/2019
701,15519,299,1,03/12/2019
702,15521,599,1,03/12/2019
703,15548,199,1,03/12/2019
704,15552,1768.84,1,03/12/2019
705,15555,58,1,03/12/2019
706,15615,399,1,03/12/2019
707,15645,399,1,03/12/2019
708,15650,28,1,03/12/2019
709,15685,1398,2,03/12/2019
710,15698,297,3,03/12/2019
711,15702,149,1,03/12/2019
712,15739,499,1,03/12/2019
713,15746,599,2,03/12/2019
714,15757,199,1,03/12/2019
715,15778,169,1,03/12/2019
716,15787,399,1,03/12/2019
717,15799,299,1,03/12/2019
718,15812,1998,2,03/12/2019
719,15817,1995,5,03/12/2019
720,15818,3495,5,03/12/2019
721,15844,349,1,03/12/2019
722,15850,1159,1,03/12/2019
723,15856,899,1,03/12/2019
724,15857,2698,2,03/12/2019
725,15866,1299,1,03/12/2019
726,15922,2149,1,03/12/2019
727,15938,2598,2,03/12/2019
728,15941,2349,1,03/12/2019
729,15989,998,2,03/12/2019
730,16003,1499,1,03/12/2019
731,16032,499,1,03/12/2019
732,16038,299,1,03/12/2019
733,16042,499,1,03/12/2019
734,16055,1198,2,03/12/2019
735,16056,3196,4,03/12/2019
736,16057,619,1,03/12/2019
737,16058,449,1,03/12/2019
738,16061,1999,1,03/12/2019
739,16083,449,1,03/12/2019
740,16113,1599,1,03/12/2019
741,16116,1318,2,03/12/2019
742,16128,1499,1,03/12/2019
743,16136,1199,1,03/12/2019
744,16137,798,2,03/12/2019
745,16147,599,1,03/12/2019
746,16160,1999,1,03/12/2019
747,16167,799,1,03/12/2019
748,16169,598,2,03/12/2019
749,16174,799,1,03/12/2019
750,16177,1999,1,03/12/2019
751,16179,1949,1,03/12/2019
752,16182,1499,1,03/12/2019
753,16184,449,1,03/12/2019
754,16205,359,1,03/12/2019
755,16206,799,1,03/12/2019
756,16209,359,1,03/12/2019
757,16210,359,1,03/12/2019
758,16227,499,1,03/12/2019
759,16245,2198,2,03/12/2019
760,16249,899,1,03/12/2019
761,16261,849,1,03/12/2019
762,16310,1279,1,03/12/2019
763,16356,199,1,03/12/2019
764,16359,249,1,03/12/2019
765,16360,799,1,03/12/2019
766,16434,399,1,03/12/2019
767,16441,99,1,03/12/2019
768,16450,149,1,03/12/2019
769,16487,798,2,03/12/2019
770,16493,399,1,03/12/2019
771,16524,79,1,03/12/2019
772,16555,49,1,03/12/2019
773,16595,99,1,03/12/2019
774,16671,299,1,03/12/2019
775,16676,399,1,03/12/2019
776,16677,332.67,-1,03/12/2019
777,16788,4198,2,03/12/2019
778,16790,8697,3,03/12/2019
779,16825,7998,2,03/12/2019
780,16826,4999,1,03/12/2019
781,16859,28,1,03/12/2019
782,16880,398,2,03/12/2019
783,16889,99,1,03/12/2019
784,16896,798,2,03/12/2019
785,16904,149,1,03/12/2019
786,16922,399,1,03/12/2019
787,16923,599,2,03/12/2019
788,17027,399,1,03/12/2019
789,17042,149,1,03/12/2019
790,17046,1197,4,03/12/2019
791,17048,699,1,03/12/2019
792,17104,399,1,03/12/2019
793,17130,116,2,03/12/2019
794,17302,158,2,03/12/2019
795,17322,447,3,03/12/2019
796,17365,99,1,03/12/2019
797,17375,450.14,1,03/12/2019
798,17398,198,2,03/12/2019
799,17403,1449,1,03/12/2019
800,17457,199,1,03/12/2019
801,17467,798,2,03/12/2019
802,17493,28,1,03/12/2019
803,17500,499,1,03/12/2019
804,17565,399,1,03/12/2019
805,17620,299,1,03/12/2019
806,17654,3999,1,03/12/2019
807,17662,7371,4,03/12/2019
808,17717,19678,20,03/12/2019
809,17748,698,2,03/12/2019
810,17750,3490,1,03/12/2019
811,17769,99,1,03/12/2019
812,17785,338,2,03/12/2019
813,17875,148,1,03/12/2019
814,17880,363,1,03/12/2019
815,17887,674,2,03/12/2019
816,17891,435,2,03/12/2019
817,17956,169,1,03/12/2019
818,18015,300,1,03/12/2019
819,18026,299,2,03/12/2019
820,18030,299,1,03/12/2019
821,18042,837.2,4,03/12/2019
822,18046,299,1,03/12/2019
823,18048,598,2,03/12/2019
824,18049,299,1,03/12/2019
825,18050,538.2,2,03/12/2019
826,18051,239.2,1,03/12/2019
827,18052,538.2,3,03/12/2019
828,18106,7598,2,03/12/2019
829,18147,99,1,03/12/2019
830,18148,449,1,03/12/2019
831,18163,299,1,03/12/2019
832,18209,299,1,03/12/2019
833,18253,299,1,03/12/2019
834,18257,199,1,03/12/2019
835,18360,199,1,03/12/2019
836,18380,199,1,03/12/2019
837,18407,597,3,03/12/2019
838,18431,167,1,03/12/2019
839,18439,199,1,03/12/2019
840,18441,498,2,03/12/2019
841,18454,597,3,03/12/2019
842,18464,199,1,03/12/2019
843,18476,99,1,03/12/2019
844,18477,747,3,03/12/2019
845,18484,199,1,03/12/2019
846,18589,99,1,03/12/2019
847,18622,169,1,03/12/2019
848,18625,399,1,03/12/2019
849,18626,699,1,03/12/2019
850,18672,299,1,03/12/2019
851,18677,199,1,03/12/2019
852,18699,398,2,03/12/2019
